epoch,train_loss,val_tau,val_rho,val_mae,pred_std,is_best
1,0.7521,0.1252,0.1700,0.2601,0.0940,True
2,0.7278,0.1208,0.1624,0.2011,0.1054,False
3,0.7212,0.0930,0.1418,0.2703,0.0888,False
4,0.6381,0.1139,0.1556,0.1876,0.0984,False
5,0.5357,0.1666,0.2245,0.1413,0.1232,True
6,0.6570,0.1226,0.1589,0.1469,0.1001,False
7,0.5691,0.1461,0.1957,0.1708,0.1012,False
8,0.5504,0.1217,0.1659,0.1613,0.1055,False
9,0.5861,0.0960,0.1286,0.1863,0.1068,False
10,0.5127,0.1592,0.2198,0.1480,0.1118,False
