epoch,train_loss,val_tau,val_rho,val_mae,is_best
1,0.7398,0.1174,0.1676,0.1545,True
2,0.7172,0.1487,0.2120,0.1243,True
3,0.6679,0.2654,0.3688,0.1333,True
4,0.6270,0.1631,0.2292,0.0929,False
5,0.6323,0.2415,0.3285,0.0836,False
6,0.5829,0.2236,0.3116,0.1095,False
7,0.5909,0.2058,0.2896,0.0944,False
8,0.5560,0.2210,0.3142,0.1188,False
9,0.5453,0.2049,0.2757,0.1009,False
10,0.5461,0.2632,0.3660,0.1255,False
