epoch,train_loss,val_tau,val_rho,val_mae,pred_std,is_best
1,0.7504,0.1522,0.2020,0.1023,0.0596,True
2,0.6630,0.1252,0.1611,0.1061,0.0855,False
3,0.5934,0.1518,0.1965,0.1235,0.1132,False
4,0.6401,0.1213,0.1619,0.1249,0.0791,False
5,0.5867,0.1744,0.2315,0.1134,0.1432,True
6,0.6491,0.1513,0.2002,0.1238,0.1035,False
7,0.6375,0.1322,0.1851,0.1207,0.1456,False
8,0.6152,0.1069,0.1519,0.1242,0.1016,False
9,0.6171,0.1208,0.1624,0.1688,0.1406,False
10,0.5841,0.1322,0.1781,0.1111,0.1022,False
