arch,best_val_tau,test_tau,test_tau_lo,test_tau_hi,test_rho,test_r,test_mae,test_pred_std
swin_t,0.1744111113856744,0.08997551010767314,-0.04701225245648795,0.22139106465256395,0.12613203656778452,0.09909449517726898,0.12425203621387482,0.13926702737808228
vit_b_16,0.1665724097503632,0.07497959175639429,-0.07179123842265604,0.22038274971149788,0.10696153045311471,0.106977678835392,0.15356364846229553,0.11704619228839874
