epoch,train_loss,val_tau,val_rho,val_mae,is_best
1,0.7052,0.1544,0.2127,0.1905,True
2,0.6011,0.1274,0.1810,0.1679,False
3,0.6151,0.2484,0.3414,0.1480,True
4,0.5482,0.2641,0.3573,0.1318,True
5,0.6182,0.3177,0.4221,0.1377,True
6,0.5565,0.3177,0.4247,0.1246,False
7,0.4850,0.2445,0.3458,0.1710,False
8,0.5100,0.2663,0.3735,0.1717,False
9,0.4582,0.2441,0.3372,0.1583,False
10,0.5358,0.2354,0.3391,0.1567,False
