epoch,train_loss,val_tau,val_rho,val_mae,pred_std,is_best
1,0.7495,0.1535,0.2032,0.1326,0.0589,True
2,0.6800,0.1104,0.1511,0.0903,0.0623,False
3,0.6062,0.1417,0.1936,0.1016,0.0977,False
4,0.6273,0.1439,0.1970,0.1298,0.1044,False
5,0.6519,0.0982,0.1400,0.1080,0.0961,False
6,0.5754,0.1252,0.1749,0.1012,0.0939,False
