epoch,train_loss,val_tau,val_rho,val_mae,is_best
1,1.5818,0.0987,0.1270,0.2973,True
2,1.5344,0.1311,0.1841,0.2834,True
3,1.4860,0.1333,0.1793,0.2441,True
4,1.3689,0.1164,0.1657,0.2288,False
5,1.3848,0.0606,0.0784,0.2442,False
6,1.4236,0.0390,0.0632,0.2793,False
7,1.4248,0.1026,0.1508,0.1912,False
8,1.3012,0.1104,0.1563,0.2556,False
9,1.3700,0.1333,0.1826,0.2611,False
10,1.2824,0.0519,0.0722,0.2442,False
