epoch,train_loss,val_tau,val_rho,val_mae,is_best
1,0.7552,0.2014,0.2785,0.2841,True
2,0.5724,0.1557,0.2095,0.2597,False
3,0.5021,0.2480,0.3445,0.2298,True
4,0.4769,0.2432,0.3359,0.2131,False
5,0.4183,0.1944,0.2689,0.2129,False
6,0.3891,0.1962,0.2649,0.2164,False
7,0.4153,0.2188,0.3059,0.2101,False
8,0.3366,0.2097,0.2886,0.2108,False
