epoch,train_loss,val_tau,val_rho,val_mae,is_best
1,0.8088,-0.0011,-0.0009,0.1447,True
2,0.7398,0.0046,0.0137,0.1907,True
3,0.7460,0.0024,0.0122,0.1951,False
4,0.7300,0.1172,0.1595,0.1650,True
5,0.8153,-0.0733,-0.1048,0.1956,False
6,0.7290,0.0124,0.0225,0.1955,False
7,0.7383,0.0308,0.0436,0.1956,False
8,0.7257,0.0599,0.0894,0.1955,False
9,0.7475,0.0582,0.0868,0.1950,False
10,0.7463,-0.0479,-0.0773,0.1953,False
11,0.7181,-0.0807,-0.1134,0.1953,False
