epoch,train_loss,val_tau,val_rho,val_mae,is_best
1,0.7642,0.1522,0.2080,0.4586,True
2,0.6831,0.1644,0.2291,0.4912,True
3,0.7193,0.1108,0.1602,0.5718,False
4,0.6495,0.1309,0.1940,0.3104,False
5,0.6795,0.1518,0.2150,0.3703,False
6,0.6121,0.1043,0.1605,0.2793,False
7,0.5531,0.1526,0.2179,0.3171,False
