epoch,train_loss,val_tau,val_rho,val_mae,is_best
1,0.8160,0.1052,0.1487,0.1062,True
2,0.7222,0.1866,0.2597,0.1228,True
3,0.7129,0.1422,0.2011,0.1188,False
4,0.6717,0.1265,0.1758,0.1345,False
5,0.6695,0.0817,0.1162,0.1300,False
6,0.6291,0.1296,0.1881,0.1227,False
7,0.5713,0.1082,0.1558,0.1104,False
